2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:24:17 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:24:17 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:50 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:30:50 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:30:50 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:30:50 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:30:50 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:50 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:50 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:50 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:51 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:30:51 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:30:51 | INFO | main:18 - 📥 GET http://localhost:8000/api/games/?q=
2025-06-12 at 12:30:51 | INFO | main:24 - 📤 200 http://localhost:8000/api/games/?q=
2025-06-12 at 12:57:44 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
2025-06-12 at 12:57:44 | INFO | main:24 - 📤 307 http://localhost:8000/api/games?q=
2025-06-12 at 12:57:44 | INFO | main:18 - 📥 GET http://localhost:8000/api/games?q=
